,Activity Type,Date,Title,Distance,Calories,Time taken,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Time,Temp,Shoes
1036,Cardio,2022-06-18 0:00:00,Howard County Running,13.919,848.786,97.338,154.646,172.293,176.474,236.287,6.993,6.465,411.079,928.866,0.088,4.128,13.935,2022-06-18 12:23:00,10.8,Nike Alphafly Next% 2
1037,Treadmill Running,2022-03-03 0:00:00,Jefferson County Running,2.661,606.251,21.004,169.816,160.257,192.067,123.415,7.894,7.586,149.245,617.24,1.209,6.771,3.29,2022-03-03 9:15:00,21.44,Craft Pro Endur Distance
1038,Treadmill Running,2021-01-18 0:00:00,Pennsauken Running,17.866,286.176,120.383,126.924,180.416,140.023,188.646,6.738,6.475,587.222,501.932,0.11,4.716,17.514,2021-01-18 18:37:00,30.15,Adidas Ultra Boost 20
1039,Treadmill Running,2021-01-10 0:00:00,Logan Running,12.256,39.788,81.63,115.346,175.176,166.391,146.619,6.66,5.742,726.504,766.223,0.726,0.991,12.18,2021-01-10 14:00:00,34.08,Asics Magic Speed
1040,Treadmill Running,2022-01-17 0:00:00,Philadelphia - Running,13.772,224.462,92.78,56.743,175.881,140.523,160.564,6.737,6.155,365.685,129.449,1.065,0.057,13.65,2022-01-17 13:01:00,31.72,Craft Pro Endur Distance
1041,Cardio,2023-09-19 0:00:00,Cardio,12.557,917.443,88.668,180.39,170.246,194.313,213.283,7.061,6.174,9.685,704.378,1.073,3.627,12.671,2023-09-19 11:12:00,24.3,Brooks Ghost 15
1042,Treadmill Running,2023-10-16 0:00:00,Annapolis Running,8.161,713.2,58.229,91.885,166.206,153.203,158.107,7.135,6.809,467.242,197.879,0.072,4.071,8.488,2023-10-16 13:11:00,17.13,Brooks Ghost 15
1043,Treadmill Running,2021-07-25 0:00:00,Manheim Running,6.708,464.193,47.127,159.408,165.965,147.484,235.832,7.026,6.406,633.112,878.344,0.888,3.592,7.062,2021-07-25 5:41:00,6.05,Brooks Ghost 14
1044,Running,2022-01-08 0:00:00,Chester Running,10.077,427.244,69.348,91.786,170.228,148.349,152.564,6.881,6.275,534.186,69.279,0.452,6.235,10.223,2022-01-08 12:12:00,32.7,Brooks Ghost 14
1045,Cardio,2022-07-07 0:00:00,Allentown Running,4.205,161.695,28.73,103.794,164.788,129.935,215.153,6.833,5.874,26.631,870.633,1.223,7.276,4.637,2022-07-07 17:49:00,2.69,Brooks Ghost 15
1046,Cardio,2022-10-30 0:00:00,Allentown Running,7.058,963.394,52.326,166.354,163.376,132.142,147.476,7.413,6.973,885.805,449.073,1.21,7.847,7.51,2022-10-30 13:40:00,21.91,Craft Pro Endur Distance
1047,Running,2021-10-15 0:00:00,Wicomico County Running,1.555,904.036,15.35,139.745,157.136,193.717,218.54,9.872,9.467,99.896,297.742,1.224,5.583,2.321,2021-10-15 9:09:00,17.24,Nike Alphafly Next% 2
1048,Running,2022-11-11 0:00:00,Rye Running,0.981,259.482,7.836,103.328,160.334,127.779,184.869,7.984,7.721,784.264,867.619,0.775,3.342,1.629,2022-11-11 11:57:00,20.03,Nike Pegasus 40
1049,Treadmill Running,2023-03-08 0:00:00,Howard County Running,17.748,886.919,123.046,79.22,176.654,179.992,218.006,6.933,5.996,366.469,680.001,1.341,5.247,17.545,2023-03-08 5:44:00,12.1,Nike Pegasus 40
1050,Cardio,2021-01-26 0:00:00,Pennsauken Running,4.017,437.39,29.061,76.008,162.901,148.81,153.595,7.235,6.797,187.645,778.205,1.137,8.475,4.526,2021-01-26 4:49:00,25.6,Brooks Ghost 14
1051,Running,2022-07-25 0:00:00,Denver Running,1.403,213.367,10.376,104.892,161.117,177.493,154.493,7.397,6.881,916.62,234.957,1.434,1.714,2.014,2022-07-25 18:05:00,9.4,Craft Pro Endur Distance
1052,Treadmill Running,2023-01-04 0:00:00,West Pennsboro Running,16.998,807.795,117.599,154.302,176.231,150.515,178.497,6.918,6.221,656.004,721.039,1.777,2.377,16.821,2023-01-04 13:51:00,31.69,Nike Pegasus 40
1053,Treadmill Running,2022-12-04 0:00:00,Chicago Running,17.359,936.393,120.741,159.899,175.889,137.379,242.466,6.955,6.337,594.155,489.789,1.573,4.746,17.191,2022-12-04 7:32:00,28.76,Craft Pro Endur Distance
1054,Treadmill Running,2022-10-19 0:00:00,Boulder County Running,10.308,419.771,70.843,68.791,170.55,158.327,149.501,6.872,6.32,163.561,679.206,1.838,5.128,10.438,2022-10-19 19:20:00,20.15,Craft Pro Endur Distance
1055,Running,2021-07-08 0:00:00,Ocean City Running,5.216,666.428,38.361,112.127,162.958,168.708,172.981,7.354,6.443,771.258,819.476,1.184,2.687,5.708,2021-07-08 7:23:00,7.4,Brooks Ghost 14
1056,Running,2021-04-29 0:00:00,Santurce - Running,12.642,15.03,84.054,107.895,175.788,146.516,123.592,6.649,6.445,109.981,378.479,0.85,1.362,12.537,2021-04-29 7:42:00,12.77,Brooks Launch 9/GTS 9
1057,Treadmill Running,2022-11-20 0:00:00,Annapolis Running,8.753,623.663,61.657,181.056,167.456,132.473,156.222,7.044,6.814,514.402,243.422,1.471,4.38,9.024,2022-11-20 16:51:00,12.1,Hoka Mach 5
1058,Running,2022-05-15 0:00:00,Boca Raton - Running,7.923,9.074,52.608,160.216,170.166,152.557,184.068,6.64,6.404,890.258,639.632,0.022,4.663,8.098,2022-05-15 15:29:00,17.23,Brooks Ghost 14
1059,Treadmill Running,2021-02-19 0:00:00,Baltimore - Running,3.888,275.312,27.278,122.023,163.724,132.488,194.517,7.015,6.745,150.444,748.922,1.061,7.652,4.367,2021-02-19 11:36:00,26.92,Asics Magic Speed
1060,Treadmill Running,2021-02-02 0:00:00,Santurce Running,3.627,501.487,26.836,129.097,162.047,143.737,216.448,7.399,6.956,929.301,945.331,1.079,6.348,4.174,2021-02-02 8:36:00,34.78,Adidas Ultra Boost 20
1061,Running,2023-06-20 0:00:00,Philadelphia Running,10.538,390.341,72.2,76.664,171.002,124.86,199.34,6.852,5.945,105.857,375.665,0.354,4.169,10.647,2023-06-20 18:08:00,7.43,Nike Pegasus 40
1062,Running,2022-10-31 0:00:00,Denver Running,10.409,686.263,73.04,101.584,169.064,178.431,191.368,7.017,6.613,820.663,880.566,0.123,7.041,10.596,2022-10-31 8:38:00,12.68,Hoka Mach 5
1063,Cardio,2022-07-25 0:00:00,Howard County Running,12.747,529.764,87.707,66.785,172.811,159.539,213.484,6.881,6.306,947.394,43.447,0.17,4.964,12.758,2022-07-25 16:59:00,10.89,Hoka Mach 5
1064,Running,2021-06-18 0:00:00,Anne Arundel County Running,10.164,567.064,70.725,178.657,169.489,188.828,214.718,6.958,6.651,23.858,148.072,1.475,5.264,10.337,2021-06-18 14:11:00,10.42,Altra Paradigm 6
1065,Treadmill Running,2021-01-13 0:00:00,Jefferson County Running,17.636,416.627,119.604,123.45,179.355,139.606,166.067,6.782,6.351,673.147,3.709,1.044,7.654,17.329,2021-01-13 19:04:00,30.54,Asics Magic Speed
1066,Cardio,2023-04-05 0:00:00,Exeter Running,11.186,780.719,78.752,182.43,169.426,169.8,157.93,7.04,6.555,383.162,56.399,0.984,4.101,11.349,2023-04-05 4:15:00,12.09,Brooks Ghost 15
1067,Treadmill Running,2022-12-31 0:00:00,Fairfax County Running,7.318,203.327,49.697,160.149,168.27,155.267,141.944,6.791,6.544,26.521,216.515,1.428,4.701,7.575,2022-12-31 12:31:00,28.17,Brooks Ghost 15
1068,Running,2023-08-01 0:00:00,Cherry Hill Running,11.174,610.955,77.701,153.047,170.435,160.602,162.698,6.954,6.207,909.564,609.601,0.285,5.946,11.297,2023-08-01 17:44:00,4.17,Craft Pro Endur Distance
1069,Cardio,2023-04-15 0:00:00,Voorhees Running,6.23,427.579,43.737,71.815,165.613,166.354,231.065,7.021,6.809,703.213,224.607,1.644,5.064,6.604,2023-04-15 12:14:00,17.06,Hoka Mach 5
